IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',IIa,IIa',IIb,IIb',IIc,IIc',Ia,Ib,Ic,sample
7.7991659,3.5392403,0,0,0,0,13.8067619,3.2642025,1.4104415,0.7433003,0.4074017,0,61.2116959,5.5330145,2.2847755,367.4
6.5336709,2.6494383,0,0,0,0,13.8984925,2.6954194,1.2848495,0.6978639,0.4624294,0,63.6057273,5.6454805,2.5266283,367.5
7.0089174,3.6336361,0,0,0,0,14.807484,3.1908909,0,0,0,0,71.3590716,0,0,367.6
7.5953526,3.4323683,0,0,0,0,16.8735743,3.5082524,1.7416331,0.9406855,0.5631157,0,54.658776,7.402866,3.2833763,367.7
6.1798826,2.8684101,0,0,0,0,14.9585189,3.512156,1.5111662,0.8849558,0.4068225,0,61.2517194,5.6257623,2.8006063,367.8
5.6094815,2.832887,0,0,0,0,13.6015093,2.9401473,1.378408,0.7850536,0,0,64.7319255,5.6520813,2.4685066,367.9
5.9702438,3.2465578,0,0,0,0,11.9753458,3.3622233,0,0,0,0,68.4549934,4.8943958,2.0962401,367.95
8.8001312,4.1318789,0,0,0,0,10.3149348,3.8382679,1.3007463,0.9333224,0,0,65.3604527,3.8308866,1.4893792,367.99
4.0077842,3.0925901,0,0,0,0,12.3945886,2.8503099,1.4740018,0,0,0,68.0643371,5.5872951,2.5290932,368.05
3.8369178,3.5886755,0,0,0,0,12.5930673,2.9545926,1.3096338,0.6702731,0.3291049,0,67.6497088,4.9196087,2.1484176,368.08
4.4544373,2.9304878,0,0,0,0,12.9391938,2.8130766,1.5303392,0,0,0,67.055375,5.7387721,2.5383184,368.12
3.9278144,2.8255839,0,0,0,0,11.6465395,2.6451199,1.4386559,0.7588044,0.3990432,0,67.9653074,5.8168524,2.5762791,368.21
4.4857612,2.6954061,0.1729672,0.2010744,0,0,12.3394828,2.7090994,1.6447743,0.86671,0.476813,0.1806066,65.6112302,5.9849547,2.63112,368.23
5.9015992,2.5006247,0,0,0,0,15.8187223,2.884295,1.4191117,0.7262145,0.4477021,0,62.1407971,5.6470337,2.5138996,368.28
6.948781,2.3970325,0,0,0,0,14.7553418,2.2566993,1.4555957,0.5984945,0.398261,0,62.9807301,5.65999,2.5490742,368.34
4.6122086,3.0341749,0.1984861,0.3797689,0,0,10.149245,2.89335,1.5379216,1.3289752,0.4312059,0.2162081,66.8031115,6.0954946,2.3198496,368.41
8.2681709,3.3358978,0,0,0,0,12.4210168,2.7497509,1.5370985,1.0877928,0.4108388,0,62.033195,6.0572715,2.0989671,368.44
6.366345,2.5162432,0,0,0,0,10.3379589,2.3048455,1.306671,0.668039,0,0,68.5694311,5.7965144,2.1339518,368.48
5.5969672,2.2490252,0,0,0,0,13.0382602,2.7777225,1.4783046,0.5807422,0.3990114,0,66.1642289,5.3867965,2.3289413,368.55
6.7327587,2.5426548,0,0,0,0,12.3857599,3.042764,1.5356783,0.5884861,0.4704769,0,65.6026783,5.0068102,2.0919328,368.58
7.314144,3.3095303,0,0,0,0,14.3837776,3.7497354,0,0,0,0,71.2428126,0,0,368.62
11.554035,4.2996474,0,0,0,0,11.6475767,3.8005403,1.7629012,1.0047556,0,0,57.9081983,6.1161879,1.9061574,368.72
13.2254407,5.5045872,0,0,0,0,14.3799608,0,0,0,0,0,66.8900113,0,0,368.74
12.0124805,3.9313573,0,0,0,0,10.8139222,3.7312389,1.6880951,1.1415353,0,0,58.1419119,5.7991285,2.7403303,368.79
7.4119005,3.019192,0,0,0,0,15.2649801,2.9919306,1.8492267,0.8723625,0.587936,0,58.3687731,6.6363157,2.9973829,368.84
7.7250906,2.821593,0,0,0,0,17.0201822,2.702802,1.9851572,0,0,0,57.8487802,6.6584207,3.2379739,368.88
9.3682273,6.5321246,0,0,0,0,14.6605765,3.2975228,0,0,0,0,60.4343875,5.7071613,0,368.9
5.8950729,5.5641826,0,0,0,0,12.2044844,3.2479501,1.8133662,1.753864,0,0,60.880923,5.5750671,3.0650896,368.94
8.2268209,7.2874822,0,0,0,0,15.1105701,4.3233922,2.9235139,0,0,0,56.0925137,6.035707,0,369.02
8.0668065,6.6029487,0.415531,0.4654629,0,0,12.2968928,3.167876,3.2506899,1.7293495,0.5548533,0.4993192,53.8329448,5.9886642,3.1286612,369.04
5.7885429,4.4619015,0,0,0,0,14.1165501,2.922726,1.8751587,1.1712355,0.4631535,0.2519327,60.5564408,5.6287593,2.7635991,369.09
4.3149574,5.7141542,0,0,0,0,13.3067532,3.0216208,1.5562613,1.3036925,0,0,62.9793918,5.2429609,2.560208,369.13
