IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',IIa,IIa',IIb,IIb',IIc,IIc',Ia,Ib,Ic,class
5.68653412,15.92867433,0.707679655,1.627364746,0.214183984,0.408804603,4.656244128,7.321872353,6.465060169,6.162350872,0.631887957,3.790303826,31.50378114,9.335221409,5.560036709,0
5.611994724,17.55752009,0.641736728,1.773790254,0.218887513,0.258458263,4.734727383,7.065930546,3.279725867,10.24609621,0.600948042,3.546466097,30.59804326,8.746664377,5.119010646,0
11.00614115,7.235624865,0.634480351,2.765321732,0.746867004,0.296918741,11.09392932,4.939150764,4.642677097,7.459138936,0.535771587,1.696481569,35.11613396,8.632245862,3.19911706,1
8.075507793,5.564576289,0.960662222,3.269190524,0.675911082,0.226215003,7.490018998,5.773298799,3.740798558,5.77821639,0.387134353,1.699088693,48.13372188,5.83179439,2.393865024,1
9.619203847,4.217373027,0.331368202,1.001366294,0.310139281,0.301566674,15.89250888,4.437472128,5.460853894,5.48111353,0.300430545,1.52358027,30.01981551,17.46243208,3.640775831,1
6.891500129,6.132009933,0.897526082,1.755738505,0.325447488,0.186570792,10.5259599,7.900807902,5.861791556,4.203006041,0.602430779,1.28796961,42.13003847,8.381525587,2.917677221,1
4.428714275,6.449506197,0.511721827,2.193007593,0.747772076,0.33863451,8.485972322,8.800316446,6.503548255,3.822503696,0.54921418,1.875257878,45.62140152,7.313076072,2.359353152,1
8.671745105,6.106037314,0.547234558,1.934748319,0.129347027,0.401866189,9.310179218,5.912403906,7.152323284,4.933657721,0.610039411,1.229973043,39.21324042,9.925899058,3.92130543,1
8.593889568,6.319855844,0.490206495,1.84015852,0.155019104,0.413093135,10.22699277,6.708961358,6.210065653,4.376912527,0.737826462,1.319445245,39.8588278,9.299417382,3.44932813,1
5.381921653,6.014740661,0.32555887,1.054293485,0.059718157,0.303841854,10.14331558,9.209985725,3.9555079,4.121316517,0.595952446,1.15447104,46.91037629,8.211381185,2.55761864,1
5.118388721,6.837163893,0.398895705,0.896502686,0.103124504,0.417690505,10.32631507,9.49385049,3.329958602,4.84000811,0.63221046,1.506322953,45.56333169,7.928782214,2.607454406,1
8.990391751,7.363635777,0.502785314,1.901332692,0.149032492,0.713018196,8.780103559,5.729754046,7.215552772,5.184039041,0.755357915,1.419288586,39.32561576,8.407960199,3.562131901,1
8.583570624,6.60157153,0.422572826,0.997026813,0.16344003,0.7325012,8.984066604,6.463658162,6.007181964,5.229049996,0.812302999,1.470028427,41.88182751,8.34911195,3.30208936,1
8.041093274,6.54117929,0.622780081,1.15555429,0.166195278,0.765537398,9.064230145,6.846591175,5.562173005,4.472083363,1.051193149,1.519708605,42.57073755,8.344786119,3.276157283,1
5.507828872,6.582739283,0.539287807,0.997790242,0.202491648,0.675848933,10.20888204,8.609330254,4.396841372,4.836730329,0.588883025,1.595944073,44.22313809,8.129354045,2.904909991,1
3.73150358,5.815215923,0.338579501,0.897934203,0.191909655,0.578440889,9.831163264,9.920841633,3.238488271,4.268803361,0.841733704,1.25488082,48.46077301,7.960295801,2.669436389,1
